 8353	 9504	 8270	  251	 8506	 8228	 9319	   38	
 8511	 1253	 8279	 8440	  357	 8396	 8259	  411	
 9088	 9523	 1704	  403	 8326	  303	 8248	  518	
   53	  771	 8478	 8463	 1337	  172	10913	 8564	
 8268	 8706	  463	  328	  816	 8382	 9535	 8846	
 8654	 8896	 1133	  428	 8661	   94	 1186	 8467	
 9205	 8492	  457	  806	 8385	  372	  287	 8216	
  552	 9620	  123	  348	  505	  165	 8531	 8202	
 8496	  995	  778	 8216	  222	  144	 9221	  137	
  707	  361	10336	 8426	  129	 8699	  489	  676	
 8542	 8287	 9051	  393	 9731	  787	 2758	  165	
 8786	 8239	  919	  239	 1050	 8219	 9599	 8236	
  676	 1190	 9326	 8828	   73	  181	 8901	 8313	
 9140	 8222	  641	  292	 9234	 8274	 2485	  536	
 8399	 8839	 1359	  412	 8694	  143	  388	 8876	
  261	  498	 8515	 8433	 8747	 8295	  282	  324	
 9101	 8633	  602	  532	 8402	  791	 8307	  724	
 8272	  650	 8500	 8616	  130	  217	 8743	 8265	
 8731	 8337	  573	   36	 8802	 1308	  665	 8226	
 9087	 8359	  871	  201	 8466	 8376	  725	 8389	
  310	 9222	 8731	 8278	 8371	 8821	 8950	  379	
   41	 1509	 9239	 8430	  501	 8332	 8929	 8517	
  944	 8665	  132	   10	 8352	  312	 8699	 8592	
 8733	  356	  330	 8296	  974	  355	 8689	 8362	
 9213	  429	 1389	  151	 8436	  937	  919	 8829	
 8369	 8676	 8296	 8536	 9268	  740	  830	  350	
 9221	  975	  305	 8268	 8335	 8473	  857	  327	
  204	  155	 9284	 8644	 9251	  479	  604	  306	
 8286	 8223	 8251	 8445	 8578	  485	 1084	  143	
  711	 8494	 9071	 8776	 8578	 9339	  864	  624	
 9372	  446	  595	  241	 8951	  253	 1656	  671	
 8372	 9021	 8673	 8746	 9421	 8353	  825	  168	
  968	 8823	 9416	 8521	 9491	 8688	 1426	  183	
   41	 9100	 8227	  760	   51	  177	  399	  165	
  363	 9279	 8731	  756	    8	 8473	  770	   93	
 8682	   12	  411	  261	 8330	  919	 8253	 8612	
  531	 8670	 9791	 8483	 8332	 8951	  783	 8219	
  157	  519	 8247	 8634	  653	 9061	 8797	 8682	
 8422	 8610	 1147	  274	  708	 8994	 9071	   85	
 8370	 8769	 8739	  217	 8386	 1050	 9396	    7	
  432	  241	 8559	  512	 8196	 8295	  823	  324	
  336	 9003	 8244	 8668	 8475	 8318	 9201	 8238	
  152	  108	 8425	 8675	  908	 9154	 9052	  389	
  312	 8498	 8423	   38	 8307	  197	 9352	   41	
  154	 8437	  600	 8268	  882	   54	10501	 8452	
 9303	    4	  142	 8449	  141	 1251	 9072	 8452	
 8617	 8457	 1078	  144	   20	 8385	 1410	  100	
  407	 8425	 1336	  134	  536	 8719	 9091	 8528	
 8713	 8621	 1106	  473	  815	  376	 9640	 8859	
 8284	  863	 8576	  253	  201	  444	 8193	 8511	
  150	 8220	  252	  289	  283	  373	 8396	  104	
 8464	10115	  550	  179	 9180	  380	 8347	 8262	
 8664	 1088	 1052	 8515	  370	  945	 8439	 8217	
 8964	 9299	 1382	  592	  226	  190	 8899	 8506	
  237	  471	 8397	 8437	 1329	 8276	10744	 8309	
 8936	 8502	 1161	  150	  215	  572	  149	 8559	
 9106	 8398	 8535	  391	 8474	 8243	  730	  346	
 8584	  418	  300	 8721	 8759	  114	  122	  399	
 8533	 1778	  300	 8318	  943	 8891	 8659	   88	
 1063	 8519	 9416	 8543	  174	 8602	 8275	  505	
 8576	  508	 8485	 8440	 8766	 8593	 1439	  662	
  991	 8261	 8344	 8446	  505	 9297	 8672	 8280	
 8307	  127	    0	 8317	  101	 9411	  144	  123	
 8626	 8382	 8238	  298	 8581	   87	 1807	   40	
 9259	 9276	 1629	  624	 8555	 8238	 1314	  319	
 8723	 1086	  841	   65	  830	 8339	  113	   48	
  563	  865	 8817	 8380	  248	 8998	 9106	  142	
  288	    0	  343	 8308	 8572	 8843	  463	 8376	
   93	 8857	 8371	   81	  415	 8424	 8525	 8354	
 8833	 9295	 1274	  499	   58	  985	 9324	 8690	
 8700	 8522	 1528	 8268	   35	  175	 9111	 8331	
 8415	 9372	  693	  466	 8518	  559	 8252	  314	
 9260	 8595	 1114	 8237	 9098	 1248	 1322	 8245	
 9455	  705	 2356	 8246	  275	  542	  140	 8486	
  344	 8852	 8424	 8420	 9113	 9351	  747	  713	
  582	  113	 8783	  118	  104	 8794	 8612	   90	
  238	  697	  226	 8291	 1341	 8193	10191	 8457	
  372	 8671	  161	  221	 8361	  765	   83	 8831	
  224	 8861	  315	   67	  146	  325	 8527	 8330	
  509	 8562	 8481	  215	 8914	 8871	 1752	  157	
 8923	 8637	  402	  347	 8390	  333	  188	  251	
 8417	  331	 8519	 8270	 8507	 1049	  864	 8620	
  967	 8867	  192	   21	 8868	 9328	  571	 8552	
  103	  723	 9021	 8386	 8381	 8816	  219	  522	
 8736	  821	  641	 8659	 1148	  396	 9676	 8325	
 1105	 8789	 9479	 8225	 8722	 8939	 8574	  217	
  694	 9054	 8580	   13	  538	 8288	 8725	  336	
  380	 8287	 9499	 8227	 8315	 8467	 8793	  577	
  463	 8724	  840	   48	  392	   21	 8517	 8198	
  427	 1161	   14	 8255	  624	 8900	   28	 8222	
 9252	 9138	  921	  221	 8879	  915	 1369	 8246	
  128	  332	  710	  420	 1092	  462	 9142	 8205	
  711	  214	 9160	 8514	  398	 1010	 8987	 8572	
 9277	 8644	  291	  741	 9072	  834	 1219	   82	
  349	  462	 8767	  403	  820	 8522	 8802	 8278	
 8340	  403	  331	   75	 1083	   94	10319	  251	
  919	 9516	 8785	  126	 8845	 9363	  175	 8390	
 1512	 8443	10066	 8562	  506	 8785	 9116	 8267	
 8925	 8393	 1151	  210	  150	 1287	 8633	 8655	
 8329	 8313	   95	 8347	  700	  445	10463	 8511	
 1060	 8882	  326	 8282	   52	 9924	 8245	  108	
 8394	 1681	 8727	 8601	  742	   63	 8544	    7	
   91	 8810	 8786	 8195	 9671	 1066	 1730	  297	
  120	 8504	  337	 8567	 8652	   33	 1266	  211	
 8771	   80	 1161	 8388	 8288	 8383	 8193	  169	
 8740	 8816	 1867	  167	  231	 8377	 9067	  178	
 8883	  290	 8298	 8218	 8835	 1185	 1325	  508	
 9665	  642	 2923	  409	  921	 8389	  161	 8492	
  322	 9811	 8410	  535	 9458	  323	 1681	 8357	
 8530	 8362	  163	 8325	 8738	  271	 1139	  410	
  653	  174	 8431	   90	 8542	  139	  575	  222	
  125	  803	   85	 8231	 1306	 9402	 9787	 8531	
   55	 8499	 8849	 8397	 8325	  454	 8435	  426	
 8888	  599	  370	 8285	 1034	 8418	 9078	 8203	
   89	  165	  394	 8349	  715	 9497	 8942	  125	
 1144	 9453	 9298	   84	 9124	 9711	 1125	  262	
 9284	 8594	  414	  147	   45	   67	  244	 8242	
 8274	 1230	  113	 8665	  849	 8653	 8758	    4	
 8378	  198	 8272	  527	  426	  390	 8357	 8502	
 8294	 8959	  274	 8767	 8368	 8880	 8414	  665	
   37	 9709	  212	  336	 9667	  543	 1617	   69	
 9173	  743	  465	  214	  668	  347	 8444	 8539	
 9165	 8801	 1115	  172	 9202	  406	  566	 8336	
  840	  755	 8857	 8469	 1167	 8291	10021	 8471	
  859	 8769	  732	  234	 8307	 9669	  903	   65	
   16	 8292	 8446	  441	 8459	 8421	  445	   10	
 8550	 8535	 1207	  266	 8519	  715	 8463	  215	
 8762	 8727	  318	  124	  304	  477	 9249	  232	
  303	 9183	   99	  553	 8990	  523	  546	 8472	
 8215	 1309	 8458	 8210	 1292	   11	 9015	 8563	
 9093	  339	  548	 8297	 8920	 1644	  803	  103	
 9619	 8685	 1720	   63	 8562	  549	  685	  292	
  336	 9025	 8756	 8529	 8790	  223	 8241	  216	
 8767	 8201	 8555	  370	 8403	  503	  806	  227	
 8757	 9017	  846	  348	  550	 8376	  381	  349	
 8315	 8205	 8293	 8247	 8655	 8723	   48	  196	
 8590	 8203	  640	 8596	  875	 8650	 9405	  177	
